Alert_Time,Entry_Time,Entry,Entry_Price,Trigger_Level,TP,SL,Exit_Time,Exit_Price,Outcome,Duration,Profit,Profit_$,MFE_points,MAE_points,break_oposite,break_D_oposite
2024-12-11 15:36:00+01:00,2024-12-11 15:47:00+01:00,Long,6203.75,6203.75,6228.75,6193.75,2024-12-11 23:00:00+01:00,6209.75,close_at_end,0 days 07:13:00,6.0,300.0,21.25,1.0,True,True
2024-12-12 16:11:00+01:00,2024-12-12 20:23:00+01:00,Short,6188.75,6188.75,6163.75,6198.75,2024-12-12 23:00:00+01:00,6181.25,close_at_end,0 days 02:37:00,7.5,375.0,10.75,4.25,True,True
2024-12-13 16:04:00+01:00,2024-12-13 16:07:00+01:00,Short,6192.0,6192.0,6167.0,6202.0,2024-12-13 17:15:00+01:00,6167.0,TP,0 days 01:08:00,25.0,1250.0,24.5,4.0,True,True
2024-12-16 16:01:00+01:00,2024-12-16 16:35:00+01:00,Long,6205.75,6205.75,6230.75,6195.75,2024-12-16 23:00:00+01:00,6202.0,close_at_end,0 days 06:25:00,-3.75,-187.5,10.25,7.5,True,True
2024-12-17 15:31:00+01:00,2024-12-17 16:11:00+01:00,Short,6173.25,6173.25,6148.25,6183.25,2024-12-17 17:08:00+01:00,6183.25,SL,0 days 00:57:00,-10.0,-500.0,4.0,8.5,True,True
2024-12-18 15:35:00+01:00,2024-12-18 15:36:00+01:00,Short,6171.25,6171.25,6146.25,6181.25,2024-12-18 15:55:00+01:00,6181.25,SL,0 days 00:19:00,-10.0,-500.0,0.0,7.75,True,True
2024-12-19 15:32:00+01:00,2024-12-19 15:34:00+01:00,Long,6051.25,6051.25,6076.25,6041.25,2024-12-19 15:38:00+01:00,6041.25,SL,0 days 00:04:00,-10.0,-500.0,6.25,5.5,True,True
2024-12-20 15:38:00+01:00,2024-12-20 15:40:00+01:00,Long,5972.5,5972.5,5997.5,5962.5,2024-12-20 15:48:00+01:00,5962.5,SL,0 days 00:08:00,-10.0,-500.0,10.75,6.5,True,True
2024-12-23 15:31:00+01:00,2024-12-23 17:49:00+01:00,Long,6063.0,6063.0,6088.0,6053.0,2024-12-23 21:44:00+01:00,6088.0,TP,0 days 03:55:00,25.0,1250.0,24.0,8.25,True,True
2024-12-24 15:41:00+01:00,2024-12-24 15:59:00+01:00,Long,6111.25,6111.25,6136.25,6101.25,2024-12-24 17:45:00+01:00,6136.25,TP,0 days 01:46:00,25.0,1250.0,24.75,1.25,True,True
2024-12-26 15:31:00+01:00,2024-12-26 15:33:00+01:00,Long,6138.75,6138.75,6163.75,6128.75,2024-12-26 15:51:00+01:00,6128.75,SL,0 days 00:18:00,-10.0,-500.0,0.0,7.5,True,True
2024-12-27 15:35:00+01:00,2024-12-27 15:37:00+01:00,Short,6097.5,6097.5,6072.5,6107.5,2024-12-27 16:07:00+01:00,6072.5,TP,0 days 00:30:00,25.0,1250.0,23.5,8.25,True,True
2024-12-30 15:34:00+01:00,2024-12-30 15:41:00+01:00,Short,5991.5,5991.5,5966.5,6001.5,2024-12-30 17:10:00+01:00,6001.5,SL,0 days 01:29:00,-10.0,-500.0,21.0,9.75,True,True
2024-12-31 15:39:00+01:00,2024-12-31 15:40:00+01:00,Short,6015.25,6015.25,5990.25,6025.25,2024-12-31 15:47:00+01:00,6025.25,SL,0 days 00:07:00,-10.0,-500.0,4.0,6.0,True,True
2025-01-02 15:34:00+01:00,2025-01-02 15:36:00+01:00,Short,6002.75,6002.75,5977.75,6012.75,2025-01-02 15:51:00+01:00,6012.75,SL,0 days 00:15:00,-10.0,-500.0,16.0,8.5,True,True
2025-01-03 15:31:00+01:00,2025-01-03 15:32:00+01:00,Long,6002.5,6002.5,6027.5,5992.5,2025-01-03 15:52:00+01:00,5992.5,SL,0 days 00:20:00,-10.0,-500.0,15.5,4.75,True,True
2025-01-06 15:42:00+01:00,2025-01-06 15:44:00+01:00,Long,6099.5,6099.5,6124.5,6089.5,2025-01-06 19:03:00+01:00,6089.5,SL,0 days 03:19:00,-10.0,-500.0,21.0,9.25,True,True
2025-01-07 16:01:00+01:00,2025-01-07 16:02:00+01:00,Short,6068.5,6068.5,6043.5,6078.5,2025-01-07 16:18:00+01:00,6043.5,TP,0 days 00:16:00,25.0,1250.0,23.5,0.0,True,True
2025-01-08 15:33:00+01:00,2025-01-08 15:35:00+01:00,Short,5994.0,5994.0,5969.0,6004.0,2025-01-08 15:38:00+01:00,6004.0,SL,0 days 00:03:00,-10.0,-500.0,0.0,9.75,True,True
2025-01-10 15:53:00+01:00,2025-01-10 15:54:00+01:00,Short,5937.0,5937.0,5912.0,5947.0,2025-01-10 16:04:00+01:00,5912.0,TP,0 days 00:10:00,25.0,1250.0,21.75,8.25,True,True
2025-01-13 15:42:00+01:00,2025-01-13 15:43:00+01:00,Short,5865.25,5865.25,5840.25,5875.25,2025-01-13 15:44:00+01:00,5875.25,SL,0 days 00:01:00,-10.0,-500.0,0.0,0.0,True,True
2025-01-14 17:01:00+01:00,2025-01-14 17:02:00+01:00,Short,5924.25,5924.25,5899.25,5934.25,2025-01-14 17:59:00+01:00,5899.25,TP,0 days 00:57:00,25.0,1250.0,24.25,7.25,True,True
2025-01-15 15:49:00+01:00,2025-01-15 16:01:00+01:00,Long,6035.75,6035.75,6060.75,6025.75,2025-01-15 16:50:00+01:00,6025.75,SL,0 days 00:49:00,-10.0,-500.0,8.25,8.5,True,True
2025-01-16 15:48:00+01:00,2025-01-16 15:59:00+01:00,Short,6034.25,6034.25,6009.25,6044.25,2025-01-16 16:11:00+01:00,6044.25,SL,0 days 00:12:00,-10.0,-500.0,8.75,9.25,True,True
2025-01-17 16:54:00+01:00,2025-01-17 16:59:00+01:00,Long,6091.5,6091.5,6116.5,6081.5,2025-01-17 22:04:00+01:00,6081.5,SL,0 days 05:05:00,-10.0,-500.0,12.25,8.75,True,True
2025-01-20 15:33:00+01:00,2025-01-20 15:38:00+01:00,Long,6122.0,6122.0,6147.0,6112.0,2025-01-20 16:17:00+01:00,6112.0,SL,0 days 00:39:00,-10.0,-500.0,8.5,8.75,True,True
2025-01-21 15:42:00+01:00,2025-01-21 16:12:00+01:00,Short,6103.5,6103.5,6078.5,6113.5,2025-01-21 16:30:00+01:00,6113.5,SL,0 days 00:18:00,-10.0,-500.0,7.75,8.0,True,True
2025-01-22 15:55:00+01:00,2025-01-22 16:01:00+01:00,Long,6175.5,6175.5,6200.5,6165.5,2025-01-22 23:00:00+01:00,6172.5,close_at_end,0 days 06:59:00,-3.0,-150.0,12.5,8.25,True,True
2025-01-23 15:45:00+01:00,2025-01-23 16:45:00+01:00,Long,6173.25,6173.25,6198.25,6163.25,2025-01-23 21:56:00+01:00,6198.25,TP,0 days 05:11:00,25.0,1250.0,23.0,1.25,True,True
2025-01-24 15:31:00+01:00,2025-01-24 15:41:00+01:00,Long,6208.75,6208.75,6233.75,6198.75,2025-01-24 16:28:00+01:00,6198.75,SL,0 days 00:47:00,-10.0,-500.0,5.75,9.25,True,True
2025-01-27 15:31:00+01:00,2025-01-27 15:32:00+01:00,Long,6070.75,6070.75,6095.75,6060.75,2025-01-27 16:32:00+01:00,6095.75,TP,0 days 01:00:00,25.0,1250.0,24.5,1.0,True,True
2025-01-28 15:32:00+01:00,2025-01-28 15:36:00+01:00,Short,6096.75,6096.75,6071.75,6106.75,2025-01-28 16:04:00+01:00,6106.75,SL,0 days 00:28:00,-10.0,-500.0,21.0,7.0,True,True
2025-01-29 15:43:00+01:00,2025-01-29 15:44:00+01:00,Short,6127.5,6127.5,6102.5,6137.5,2025-01-29 15:58:00+01:00,6137.5,SL,0 days 00:14:00,-10.0,-500.0,0.25,9.75,True,True
2025-01-30 15:33:00+01:00,2025-01-30 15:40:00+01:00,Long,6147.75,6147.75,6172.75,6137.75,2025-01-30 16:03:00+01:00,6137.75,SL,0 days 00:23:00,-10.0,-500.0,14.25,6.25,True,True
2025-01-31 16:02:00+01:00,2025-01-31 16:04:00+01:00,Long,6187.75,6187.75,6212.75,6177.75,2025-01-31 19:20:00+01:00,6177.75,SL,0 days 03:16:00,-10.0,-500.0,12.25,7.75,True,True
2025-02-03 15:32:00+01:00,2025-02-03 15:33:00+01:00,Long,6034.5,6034.5,6059.5,6024.5,2025-02-03 15:47:00+01:00,6024.5,SL,0 days 00:14:00,-10.0,-500.0,7.25,7.5,True,True
2025-02-04 15:39:00+01:00,2025-02-04 15:54:00+01:00,Long,6084.75,6084.75,6109.75,6074.75,2025-02-04 16:41:00+01:00,6109.75,TP,0 days 00:47:00,25.0,1250.0,24.5,0.5,True,True
2025-02-05 15:39:00+01:00,2025-02-05 17:10:00+01:00,Long,6109.5,6109.5,6134.5,6099.5,2025-02-05 17:18:00+01:00,6099.5,SL,0 days 00:08:00,-10.0,-500.0,1.25,8.25,True,True
2025-02-06 15:59:00+01:00,2025-02-06 16:32:00+01:00,Short,6143.5,6143.5,6118.5,6153.5,2025-02-06 16:39:00+01:00,6153.5,SL,0 days 00:07:00,-10.0,-500.0,0.0,8.0,True,True
2025-02-07 15:33:00+01:00,2025-02-07 15:44:00+01:00,Long,6171.5,6171.5,6196.5,6161.5,2025-02-07 16:01:00+01:00,6161.5,SL,0 days 00:17:00,-10.0,-500.0,4.0,2.75,True,True
2025-02-10 15:31:00+01:00,2025-02-10 15:36:00+01:00,Short,6126.25,6126.25,6101.25,6136.25,2025-02-10 16:06:00+01:00,6136.25,SL,0 days 00:30:00,-10.0,-500.0,6.25,8.5,True,True
2025-02-11 15:35:00+01:00,2025-02-11 15:37:00+01:00,Long,6127.5,6127.5,6152.5,6117.5,2025-02-11 23:00:00+01:00,6142.75,close_at_end,0 days 07:23:00,15.25,762.5,23.5,8.75,True,True
2025-02-13 16:01:00+01:00,2025-02-13 16:03:00+01:00,Long,6143.25,6143.25,6168.25,6133.25,2025-02-13 16:08:00+01:00,6133.25,SL,0 days 00:05:00,-10.0,-500.0,5.25,4.75,True,True
2025-02-14 15:39:00+01:00,2025-02-14 15:52:00+01:00,Long,6194.0,6194.0,6219.0,6184.0,2025-02-14 17:21:00+01:00,6184.0,SL,0 days 01:29:00,-10.0,-500.0,3.5,9.5,True,True
